,Dorm,Network,PID,In_degree,Out_degree,Degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reaching_centrality
27,Alondra,NegAffPres,eaZChV6Zzv,1,0,0.03125,0.03125,0,0.000486629,0.03125,0,0,1,0
28,Alondra,NegAffPres,fVMsYognoS,1,0,0.03125,0.03125,0,0.000486629,0.03125,0,0,1,0
29,Alondra,NegAffPres,iltQcVLnHa,2,0,0.0625,0.0625,0,0.240882286,0.0703125,0,0,2.5,0
30,Alondra,NegAffPres,sqe3lI93Us,2,0,0.0625,0.0625,0,0.480792295,0.1125,0,0,4,0
31,Alondra,NegAffPres,xQMrntmJiO,2,0,0.0625,0.0625,0,0.480792295,0.09765625,0,0,3.5,0
32,Alondra,NegAffPres,yO9lkWPQCC,3,0,0.09375,0.09375,0,0.241367934,0.111607143,0,0,4,0
0,Alondra,NegEmoSupp,1PyAtD1gRL,1,3,0.078431373,0.019607843,0.058823529,9.71E-08,0.019607843,0.000980392,0.000980392,1,0.274509804
1,Alondra,NegEmoSupp,1zOMoNHmg9,0,3,0.058823529,0,0.058823529,5.65E-18,0,0,0,0,0.098039216
2,Alondra,NegEmoSupp,3hqUkuC5Qn,1,1,0.039215686,0.019607843,0.019607843,1.98E-16,0.019607843,0.000392157,0.000392157,1,0.019607843
3,Alondra,NegEmoSupp,6jHJKaD4Cb,3,6,0.176470588,0.058823529,0.117647059,1.36E-05,0.070028011,0.005882353,0.005882353,4,0.117647059
4,Alondra,NegEmoSupp,7mbIhjLfDt,1,4,0.098039216,0.019607843,0.078431373,9.71E-08,0.019607843,0.002941176,0.002941176,1,0.274509804
5,Alondra,NegEmoSupp,8FFaAiwKcb,0,1,0.019607843,0,0.019607843,5.65E-18,0,0,0,0,0.019607843
6,Alondra,NegEmoSupp,8Ji9r6ATyR,1,4,0.098039216,0.019607843,0.078431373,1.98E-16,0.019607843,0.001568627,0.001568627,1,0.078431373
7,Alondra,NegEmoSupp,B4GwtIPWEA,1,1,0.039215686,0.019607843,0.019607843,0.164755127,0.04456328,0,0,2.666666667,0.019607843
8,Alondra,NegEmoSupp,DFZonvMbYz,1,1,0.039215686,0.019607843,0.019607843,0.111862666,0.040849673,0.001960784,0.001960784,2.5,0.019607843
